organism	seedid	kingdom	phylum	mclass	order	family	genus	oxygenstat	metabolism	gram	mtype	genes	reactions	metabolites	draftcreator	draftcreated	phenotype	imgid	ncbiid	platform	kbaseid
Kocuria palustris PEL	Kocuria palustris PEL (1236550.3)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	Obligate aerobe	 Saccharolytic, respiratory	Positive	Commensal	790	1292	983	chenry	04/15/16		NA	1236550	Kbase	kb|g.25806
Olsenella profusa F019501		Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Olsenella	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	670	1228	948	chenry	04/15/16		2558860424	1125712	ModelSEED	kb|g.207382
Granulicatella adiacens ATCC 49175	Granulicatella adiacens ATCC 49175 (638301.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Facultative anaerobe	Saccharolytic, fermentative	Positive	Commensal	505	997	783	Laura Kutt	04/17/16		NA	638301	Kbase	kb|g.2710
Micrococcus luteus NCTC 2665	Micrococcus luteus NCTC 2665 (465515.4)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Micrococcus	Obligate aerobe	 Saccharolytic, respiratory	Positive	Opportunistic pathogen	688	1164	948	chenry	04/15/16		644736390	465515	Kbase	kb|g.1629
Enterococcus hirae ATCC 9790	Enterococcus hirae ATCC 9790 (768486.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Facultative anaerobe	Saccharolytic, fermentative	Positive	Commensal	745	1172	903	Laura Kutt	04/18/16		2521172711	768486	Kbase	kb|g.27747
Peptoniphilus timonensis JC401		Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus					480	1030	841	Laura Kutt	04/18/16		2619619100	1095770	Kbase	kb|g.24182
Solobacterium moorei F0204	Solobacterium moorei F0204 (706433.3)	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive		509	1052	802	Laura Kutt	05/30/16		NA	706433	ModelSEED	kb|g.3055
Actinomyces georgiae  DSM 6843		Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	536	1069	861	chenry	04/15/16		NA	1120942	Kbase	kb|g.207006
Lautropia mirabilis ATCC 51599	Lautropia mirabilis ATCC 51599 (887898.3)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	Facultative anaerobe	Non-fermentative, asaccharolytic	Negative		777	1290	1025	Laura Kutt	04/18/16		NA	887898	Kbase	kb|g.3587
Clostridium sporosphaeroides DSM 1294	Clostridium sporosphaeroides DSM 1294 (1121334.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive		773	1168	920	Laura Kutt	04/18/16		NA	1121334	ModelSEED	kb|g.29574
Bacteroides oleiciplenus YIT 12058	Bacteroides oleiciplenus YIT 12058 (742727.4)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	994	1247	1016	chenry	04/15/16		2534681837	742727	ModelSEED	kb|g.27474
Staphylococcus pasteuri SP1		Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Opportunistic pathogen	774	1398	1047	Laura Kutt	04/18/16		2558309060	1276282	Kbase	kb|g.208650
Butyricimonas virosa DSM 23226		Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas	Obligate anaerobe	Saccharolytic, fermentative	Negative		622	1221	976	chenry	04/15/16		NA	1121130	Kbase	kb|g.207074
Tannerella forsythia ATCC 43037	Tannerella forsythia ATCC 43037 (203275.8)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Tannerella	Obligate anaerobe	Asaccharolytic	Negative		586	1058	865	chenry	04/15/16		2512047036	28112	Kbase	kb|g.26084
Clostridium beijerinckii NCIMB 8052	Clostridium beijerincki beijerinckii NCIMB 8052 (290402.34)	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Anaerobe	Saccharolytic, fermentative	Positive		1224	1476	1092	Laura Kutt	04/18/16		640753016	290402	ModelSEED	kb|g.689
Corynebacterium durum F0235	Corynebacterium durum F0235 (1035195.3)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	Facultative anaerobe	Saccharolytic, fermentative	Positive		674	1192	967	chenry	04/15/16		2537561950	1035195	ModelSEED	kb|g.29106
Arcanobacterium haemolyticum DSM 20595	Arcanobacterium haemolyticum DSM 20595 (644284.3)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Arcanobacterium	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	507	1054	849	chenry	04/15/16		646564505	644284	Kbase	kb|g.2746
Bacteroides fluxus YIT 12057	Bacteroides fluxus YIT 12057 (763034.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	814	1255	1012	chenry	04/15/16		651324011	763034	ModelSEED	kb|g.3281
Campylobacter rectus RM3267	Campylobacter rectus RM3267 (553218.4)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Microaerophile	Non-fermentative, asaccharolytic	Negative		551	997	862	Laura Kutt	04/18/16		643886009	553218	Kbase	kb|g.2258
Solobacterium moorei DSM 22971		Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive		511	1058	809	Laura Kutt	04/18/16		NA	1123263	ModelSEED	kb|g.207281
Streptococcus salivarius JIM8777	Streptococcus salivarius JIM8777 (347253.5)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Commensal	605	1144	868	Laura Kutt	04/18/16		651053074	347253	Kbase	kb|g.26457
Bifidobacterium kashiwanohense DSM 21854		Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	559	1118	897	chenry	04/15/16		2597490256	1150460	Kbase	kb|g.239945
Staphylococcus caprae C87	Staphylococcus caprae C87 (435838.3)	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Pathogen	846	1406	1050	Laura Kutt	04/18/16		651285006	435838	ModelSEED	kb|g.1456
Candidatus Nitrososphaera gargensis Ga9.2		Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	Aerobe	Oxidation of ammonia, inorganic carbon	Uncharacterized		434	1029	883	Laura Kutt	04/19/16		NA	1237085	ModelSEED	kb|g.238840
Nevskia ramosa DSM 11499		Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Nevskia	Anaerobe	Fermentative	Negative		898	1414	1104	Laura Kutt	04/19/16		2523231050	1122603	ModelSEED	kb|g.207204
Collinsella tanakaei YIT 12063	Collinsella tanakaei YIT 12063 (742742.3)	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	691	1217	953	chenry	04/15/16		2513237344	742742	ModelSEED	kb|g.27481
Enterobacter hormaechei YT3		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Facultative anaerobe	Fermentative, respiratory	Negative		1157	1713	1194	Laura Kutt	04/18/16		2551306516	1260282	ModelSEED	kb|g.31510
Prevotella nigrescens ATCC 33563	Prevotella nigrescens ATCC 33563 (997352.4)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	488	962	819	Laura Kutt	04/17/16		651324089	997352	Kbase	kb|g.28899
Lactobacillus amylovorus GRL 1112	Lactobacillus amylovorus GRL 1112 (695560.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, fermentative or respiratory	Positive		555	1006	806	Laura Kutt	04/18/16		NA	695560	Kbase	kb|g.3001
Enterococcus asini ATCC 700915	Enterococcus asini ATCC 700915 (1158606.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Facultative anaerobe	Saccharolytic, fermentative	Positive	Commensal	749	1286	970	Laura Kutt	04/18/16		2545824658	1158606	Kbase	kb|g.30358
Corynebacterium glucuronolyticum ATCC 51867	Corynebacterium glucuronolyticum ATCC 51867 (548477.4)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	Facultative anaerobe	Saccharolytic	Positive		721	1237	988	chenry	04/15/16		NA	548477	ModelSEED	kb|g.2213
Clostridium tyrobutyricum DSM 2637 = ATCC 25755 = JCM 11008	Clostridium tyrobutyricum DSM 2637 = ATCC 25755 (1121342.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Anaerobe	Saccharolytic, fermentative	Positive		879	1276	998	Laura Kutt	04/18/16		NA	1121342	ModelSEED	kb|g.207086
Streptococcus infantis ATCC 700779	Streptococcus infantis ATCC 700779 (889204.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Commensal	552	1091	837	Laura Kutt	04/18/16		NA	889204	Kbase	kb|g.3632
Porphyromonas uenonis 60-3	Porphyromonas uenonis 60-3 (596327.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Obligate anaerobe		Negative	Pathogen	475	964	821	Laura Kutt	05/29/16		643886142	596327	ModelSEED	kb|g.2611
Yersinia kristensenii ATCC 33638	Yersinia kristensenii ATCC 33638 (527012.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	Aerobe	Respiratory	Negative		1391	1695	1189	Laura Kutt	05/29/16		645058790	527012	Kbase	kb|g.2094
Mycobacterium fortuitum subsp. fortuitum DSM 46621	Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	Microaerophile		Positive	Opportunistic pathogen	1316	1500	1142	chenry	04/15/16		2519899744	1214102	Kbase	kb|g.25575
Paraprevotella xylaniphila YIT 11841	Paraprevotella xylaniphila YIT 11841 (762982.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	Obligate anaerobe	Saccharolytic, fermentative	Negative		668	1088	889	Laura Kutt	04/17/16		651324083	762982	Kbase	kb|g.3278
Fusobacterium russii ATCC 25533	Fusobacterium russii ATCC 25533 (1278306.3)	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Microaerophile	Ferments amino acids	Negative		585	1108	888	Laura Kutt	04/18/16		NA	1278306	ModelSEED	kb|g.31680
Dorea formicigenerans ATCC 27755	Dorea formicigenerans ATCC 27755 (411461.4)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Obligate anaerobe	Saccharolytic, fermentative	Positive		735	1231	980	Laura Kutt	04/18/16		641736133	411461	ModelSEED	kb|g.1356
Bifidobacterium pseudolongum subsp. Pseudolongum DSM 20099		Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	470	1086	874	chenry	04/15/16		NA	1437595	Kbase	kb|g.239965
Lactobacillus iners DSM 13335	Lactobacillus iners DSM 13335 (525328.4)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, fermentative or respiratory	Positive		396	930	726	Laura Kutt	04/18/16		NA	525328	ModelSEED	kb|g.2008
Prevotella enoeca  JCM 12259		Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	552	950	821	chenry	04/15/16		2585427897	1235815	Kbase	kb|g.242258
Staphylococcus simulans ACS-120-V-Sch1	Staphylococcus simulans ACS-120-V-Sch1 (883166.5)	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive		890	1445	1083	Laura Kutt	04/18/16		2537562023	883166	ModelSEED	kb|g.28050
Paracoccus yeei ATCC BAA-599		Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Aerobe	Respiratory	Negative	Pathogen	1141	1527	1143	Laura Kutt	04/19/16		NA	1446473	Kbase	kb|g.242186
Streptococcus gordonii str. Challis substr. CH1	Streptococcus gordonii str. Challis substr. CH1 (467705.8)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive		634	1232	932	Laura Kutt	04/18/16		640753055	467705	Kbase	kb|g.1638
Bifidobacterium thermacidophilum subsp. thermacidophilum DSM 15837		Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	529	1104	886	chenry	04/15/16		2600254984	1121111	ModelSEED	kb|g.239981
Lactobacillus jensenii 1153	Lactobacillus jensenii 1153 (440497.10)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, fermentative or respiratory	Positive		459	896	738	Laura Kutt	04/18/16		NA	440497	ModelSEED	kb|g.1482
Actinomyces viscosus  C505	Actinomyces viscosus C505 (562973.4)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	723	1224	956	chenry	04/15/16		NA	562973	Kbase	kb|g.2332
Coprococcus catus GD/7	Coprococcus catus GD/7 (717962.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Obligate anaerobe	Saccharolytic, fermentative	Positive		819	1200	963	Laura Kutt	04/18/16		650377925	717962	ModelSEED	kb|g.3102
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988	Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	873	1239	975	chenry	04/15/16		2531839250	1121101	Kbase	kb|g.29562
Haemophilus haemolyticus M19501	Haemophilus haemolyticus M19501 (1028803.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Facultative anaerobe	Saccharolytic, fermentative	Negative	Commensal	663	1221	966	Laura Kutt	04/18/16		2529292793	1028803	ModelSEED	kb|g.23309
Lachnospira multipara ATCC 19207		Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	Obligate anaerobe	Saccharolytic, fermentative	Positive		554	1161	931	Laura Kutt	04/19/16		NA	1282887	Kbase	kb|g.209041
Lactococcus raffinolactis 4877	Lactococcus raffinolactis 4877 (1215915.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Pathogen	743	1198	901	Laura Kutt	04/18/16		2600255100	1215915	Kbase	kb|g.25584
Pseudobutyrivibrio ruminis AD2017		Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Pseudobutyrivibrio	Obligate anaerobe	Saccharolytic, fermentative	Negative		622	1175	941	Laura Kutt	04/18/16		NA	1280694	Kbase	kb|g.208698
Capnocytophaga granulosa ATCC 51502	Capnocytophaga granulosa ATCC 51502 (641143.3)	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Facultative anaerobe	Saccharolytic, fermentative	Negative		519	1036	869	chenry	04/15/16		2541046980	641143	ModelSEED	kb|g.32240
Bifidobacterium thermophilum RBL67	Bifidobacterium thermophilum RBL67 (1254439.12)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	583	1148	906	chenry	04/15/16		2545824622	1254439	ModelSEED	kb|g.31452
Peptoniphilus lacrimalis DSM 7455	Peptoniphilus lacrimalis DSM 7455 (1122949.3)	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Obligate anaerobe	Aaccharolytic, peptone and oligopeptides as main energy source	Positive		487	1069	859	Laura Kutt	04/18/16		NA	1122949	Kbase	kb|g.29655
Alcaligenes faecalis subsp. faecalis NBRC 13111		Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Aerobe	Respiratory	Negative		989	1518	1129	Laura Kutt	04/18/16		2600255060	1218102	Kbase	kb|g.239717
Clostridium botulinum E1 str. 'BoNT E Beluga'	Clostridium botulinum E1 str. 'BoNT E Beluga' (536233.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Anaerobe	Proteolytic, fermentative	Positive		875	1350	1015	Laura Kutt	05/30/16		645058813	536233	ModelSEED	kb|g.2143
Veillonella ratti ACS-216-V-Col6b	Veillonella ratti ACS-216-V-Col6b (883156.3)	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Obligate anaerobe	Saccharolytic, fermentative	Negative		717	1148	904	Laura Kutt	04/18/16		2534681824	883156	Kbase	kb|g.28045
Rhodococcus equi  NBRC 101255 = C 701		Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus	Aerobe	Saccharolytic	Positive		1245	1554	1135	Laura Kutt	05/29/16		NA	525370	ModelSEED	kb|g.208134
Staphylococcus lugdunensis HKU09-01	Staphylococcus lugdunensis HKU09-01 (698737.3)	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Pathogen	841	1387	1032	Laura Kutt	04/18/16		646564572	698737	Kbase	kb|g.3016
Prevotella intermedia ATCC 25611 = DSM 20706 		Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Nanaerobe	Saccharolytic, fermentative	Negative	Pathogen	442	937	801	Laura Kutt	04/17/16		NA	1122984	Kbase	kb|g.207239
Brevibacterium linens BL2	Brevibacterium linens BL2 (321955.3)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	Aerobe	Respiratory, non fermentative	Positive	Opportunistic pathogen	971	1366	1069	chenry	04/15/16		638341022	321955	ModelSEED	kb|g.878
Staphylococcus haemolyticus JCSC1435	Staphylococcus haemolyticus JCSC1435 (279808.3)	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Opportunistic pathogen	818	1379	1039	Laura Kutt	04/18/16		642555160	279808	Kbase	kb|g.652
Eubacterium sulci ATCC 35585		Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Incertae Sedis XIII	Eubacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	453	1046	851	Laura Kutt	04/18/16		2558860286	888727	Kbase	kb|g.216330
Clostridium perfringens ATCC 13124	Clostridium perfringens ATCC 13124 (195103.9)	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Anaerobe	Saccharolytic, fermentative	Positive	Pathogen	735	1305	978	Laura Kutt	04/18/16		637000077	195103	ModelSEED	kb|g.203
Eubacterium saphenum ATCC 49989	Eubacterium saphenum ATCC 49989 (592031.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Incertae Sedis XIII	Eubacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	352	846	732	Laura Kutt	04/18/16		NA	592031	Kbase	kb|g.2572
Pediococcus pentosaceus ATCC 25745	Pediococcus pentosaceus ATCC 25745 (278197.10)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Facultative anaerobe	Saccharolytic, fermentative or respiratory	Positive		568	1062	826	Laura Kutt	04/18/16		639633049	278197	ModelSEED	kb|g.647
Bifidobacterium scardovii JCM 12489 = DSM 13734		Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Facultative anaerobe	Saccharolytic, fermentative	Positive	Probiotic	667	1159	940	chenry	04/15/16		2597490265	1150461	ModelSEED	kb|g.239975
Morganella morganii subsp. morganii KT	Morganella morganii subsp. morganii KT (1124991.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Morganella	Facultative anaerobe	Fermentative, respiratory	Negative		1051	1550	1126	Laura Kutt	04/18/16		NA	1124991	Kbase	kb|g.24411
Micromonospora aurantiaca ATCC 27029	Micromonospora aurantiaca ATCC 27029 (644283.3)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Micromonospora	Microaerophile	Saccharolytic	Positive	Pathogen	1190	1457	1104	chenry	04/15/16		648028042	644283	Kbase	kb|g.2745
Prevotella disiens JCM 6334 = ATCC 29426		Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Nanaerobe	Saccharolytic, fermentative, proteolytic	Negative	Commensal	456	949	805	Laura Kutt	04/17/16		2600254990	1235811	Kbase	kb|g.208292
Streptococcus uberis 0140J	Streptococcus uberis 0140J (218495.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive		633	1181	908	Laura Kutt	04/18/16		643348578	218495	Kbase	kb|g.405
Anaerococcus prevotii DSM 20548	Anaerococcus prevoti prevotii DSM 20548 (525919.4)	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Obligate anaerobe	Saccharolytic, fermentative	Positive		538	1056	810	Laura Kutt	04/18/16		644736326	525919	Kbase	kb|g.2043
Dermacoccus nishinomiyaensis		Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermacoccaceae	Dermacoccus	Obligate aerobe	Saccharolytic, respiratory	Positive		740	1325	1050	chenry	04/15/16		2588253755	1274	Kbase	kb|g.244937
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 (342451.4)	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Pathogen	883	1404	1065	Laura Kutt	04/18/16		637000284	342451	Kbase	kb|g.966
Bacillus pumilus ATCC 7061	Bacillus pumilus ATCC 7061 (536229.4)	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Aerobe	Respiration or fermentation of carbohydrates and central metabolism intermediates	Positive		1041	1543	1117	Laura Kutt	04/17/16		642791616	536229	Kbase	kb|g.2139
Clostridium methoxybenzovorans SR3		Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Obligate anaerobe	Saccharolytic, fermentative, utilizes methoxybenzoic acid	Positive		1489	1420	1093	Laura Kutt	04/18/16		2526164529	1286820	ModelSEED	kb|g.209093
Pseudoramibacter alactolyticus ATCC 23263	Pseudoramibacter alactolyticus ATCC 23263 (887929.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Pseudoramibacter	Obligate anaerobe	Saccharolytic, fermentative	Positive		725	1106	918	Laura Kutt	04/18/16		NA	887929	Kbase	kb|g.3589
Selenomonas ruminantium AC2024		Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Veillonella	Obligate anaerobe	Saccharolytic, fermentative	Negative		701	1235	939	Laura Kutt	04/18/16		2558860977	1392501	Kbase	kb|g.242786
Clostridium cadaveris AGR2141		Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Anaerobe	Saccharolytic, fermentative	Positive		769	1293	1004	Laura Kutt	04/18/16		NA	1280692	ModelSEED	kb|g.208696
Streptococcus dysgalactiae subsp. dysgalactiae ATCC 27957	Streptococcus dysgalactiae subsp. dysgalactiae ATCC 27957 (663952.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive		641	1149	895	Laura Kutt	04/18/16		2545824515	663952	ModelSEED	kb|g.2862
Eubacterium hallii L2-7		Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	671	1178	941	Laura Kutt	04/18/16		643886203	411487	Kbase	kb|g.1364
Staphylococcus equorum subsp. equorum Mu2	Staphylococcus equorum subsp. equorum Mu2 (1159488.5)	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive		944	1455	1089	Laura Kutt	04/18/16		2529293016	1159488	Kbase	kb|g.24945
Cedecea davisae DSM 4568	Cedecea davisae DSM 4568 (566551.4)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Cedecea	Aerobe	Respiratory	Negative		1228	1686	1209	Laura Kutt	04/18/16		2541046972	566551	ModelSEED	kb|g.32230
Parabacteroides gordonii DSM 23371		Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Obligate anaerobe	Saccharolytic, fermentative	Negative		831	1308	1029	chenry	04/15/16		NA	1122931	ModelSEED	kb|g.207225
Hafnia alvei BIDMC 31		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Hafnia	Facultative anaerobe	Fermentative, respiratory	Negative	Opportunistic pathogen	1451	1866	1282	Laura Kutt	04/18/16		2576861520	1328337	ModelSEED	kb|g.209992
Anaerococcus vaginalis ATCC 51170	Anaerococcus vaginalis ATCC 51170 (655811.4)	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Obligate anaerobe	Saccharolytic, fermentative	Positive		517	1122	861	Laura Kutt	04/18/16		NA	655811	Kbase	kb|g.2788
